name,year,selling_price, km_driven ,fuel,seller_type,transmission,owner,Year Grouping
Renault Koleos 2.0 Diesel,2012,"?750,000","80,000",Diesel,Individual,Automatic,Second Owner,2011 -2015
Maruti Wagon R LXI DUO BSIII,2009,"?155,000","60,000",LPG,Individual,Manual,Second Owner,2006 - 2010
Volkswagen Polo Diesel Highline 1.2L,2012,"?335,000","77,000",Diesel,Dealer,Manual,Third Owner,2011 -2015
Ford Ikon 1.8 D,2005,"?114,999","92,645",Diesel,Dealer,Manual,Fourth & Above Owner,2006 - 2010
Mercedes-Benz New C-Class 200 CDI Classic,2007,"?699,000","101,849",Diesel,Dealer,Manual,Second Owner,2006 - 2010
Mahindra Bolero DI,2004,"?110,000","120,000",Diesel,Individual,Manual,Fourth & Above Owner,2001 - 2005
Hyundai i20 Asta 1.2,2012,"?300,000","80,000",Petrol,Individual,Manual,First Owner,2011 -2015
Mahindra Scorpio S4 4WD,2014,"?700,000","70,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Ertiga SHVS LDI Option,2017,"?700,000","120,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Alto 800 LXI,2013,"?210,000","42,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Maruti Ertiga VDI,2012,"?600,000","120,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Tata Manza Aura (ABS) Quadrajet BS IV,2012,"?180,000","155,836",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Wagon R VXi BSII,2011,"?220,000","59,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Chevrolet Spark 1.0 LT,2009,"?70,000","60,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Hyundai Creta 1.4 CRDi Base,2018,"?950,000","70,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Ford Fiesta 1.5 TDCi Ambiente,2014,"?800,000","20,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra XUV500 W8 4WD,2012,"?700,000","120,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Renault KWID 1.0,2016,"?265,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Volkswagen Polo Diesel Trendline 1.2L,2011,"?175,000","90,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Mahindra Quanto C6,2012,"?260,000","89,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,"?950,000","80,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Maruti Swift Vdi BSIII,2009,"?250,000","200,000",Diesel,Individual,Manual,Fourth & Above Owner,2006 - 2010
Mahindra Scorpio S10 7 Seater,2015,"?630,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Nano LX SE,2012,"?35,000","35,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Chevrolet Enjoy TCDi LS 8 Seater,2014,"?330,000","200,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Maruti Alto LXi,2009,"?150,000","120,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Tata Indigo LS,2008,"?105,000","90,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Tata Indica Vista TDI LX,2013,"?185,000","65,000",Diesel,Individual,Manual,First Owner,2011 -2015
Fiat Grande Punto EVO 1.3 Active,2014,"?260,000","50,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Swift Dzire VDi,2012,"?450,000","33,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Swift VXI Deca,2016,"?500,000","38,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto K10 2010-2014 VXI,2012,"?260,000","40,000",Petrol,Individual,Manual,First Owner,2011 -2015
Volkswagen Polo Diesel Trendline 1.2L,2012,"?265,000","55,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Mahindra Thar CRDe,2017,"?800,000","26,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Tata Safari Storme VX Varicor 400,2016,"?869,999","80,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Baleno Alpha 1.2,2018,"?690,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,2011,"?825,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Alto LX BSIII,2006,"?160,000","63,230",Petrol,Individual,Manual,Second Owner,2006 - 2010
Mahindra Scorpio 2.6 SLX CRDe,2006,"?300,000","120,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Maruti Wagon R VXI,2005,"?100,000","100,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Hyundai i20 Asta 1.4 CRDi,2015,"?530,000","77,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Maruti Swift VXI Optional,2016,"?360,000","30,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift 1.2 DLX,2015,"?220,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto 800 LXI,2017,"?178,000","35,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Thar DI 4X2,2018,"?515,000","5,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Ritz VXi,2014,"?300,000","35,000",Petrol,Individual,Manual,First Owner,2011 -2015
Tata Indica Vista Quadrajet LS,2012,"?150,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2017,"?750,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Toyota Innova 2.5 G1 BSIV,2012,"?950,000","80,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti 800 Std BSII,2006,"?90,000","40,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Tata Indica GLS BS IV,2008,"?65,000","110,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Hyundai Verna 1.6 CRDI,2012,"?312,000","90,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Vitara Brezza LDi,2018,"?700,000","25,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro Xing XL eRLX Euro III,2005,"?150,000","47,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Renault Fluence 1.5,2013,"?450,000","60,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Verna Transform CRDi VGT ABS,2010,"?229,999","120,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Ldi BSIII,2008,"?111,000","120,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Maruti Swift Dzire VDi,2012,"?250,000","140,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford Freestyle Titanium Plus Diesel,2019,"?750,000","1,001",Diesel,Dealer,Manual,First Owner,2016 - 2020
Ford Figo 1.5P Titanium AT,2017,"?774,000","1,758",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Ford Figo 1.5P Titanium AT,2018,"?711,000","1,452",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Ford Figo 1.5D Titanium MT,2017,"?600,000","35,122",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Swift Dzire VDI,2015,"?455,000","92,621",Diesel,Dealer,Manual,First Owner,2016 - 2020
Datsun GO T Petrol,2015,"?225,000","92,198",Petrol,Dealer,Manual,Second Owner,2016 - 2020
Maruti Swift Dzire VDI,2019,"?650,000","5,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Chevrolet Beat LT,2013,"?200,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai Creta 1.6 CRDi AT SX Plus,2016,"?875,000","74,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Skoda Rapid 1.5 TDI AT Ambition BSIV,2017,"?750,000","40,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Maruti Swift Dzire AMT VDI,2019,"?725,000","22,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Maruti Alto LXi,2007,"?100,000","100,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Tata Hexa XT,2019,"?1,100,000","40,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Ford Endeavour 3.2 Titanium AT 4X4,2017,"?2,700,000","30,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Renault KWID RXT Optional,2016,"?280,000","23,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indica Vista Aqua TDI BSIII,2009,"?150,000","30,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Tata Manza Aura Safire,2010,"?200,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Ritz VDi,2010,"?148,000","100,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire VXi,2011,"?254,999","70,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire ZXI,2013,"?360,000","60,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Alto LX,2006,"?95,000","90,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Mahindra Bolero SLE BSIII,2007,"?185,000","230,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Tata Indica Vista Quadrajet VX,2012,"?185,000","40,000",Diesel,Individual,Manual,First Owner,2011 -2015
Renault KWID RXL,2019,"?300,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Verna VTVT 1.6 SX,2018,"?800,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Zen LX,2000,"?60,000","50,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Fiat Punto 1.2 Active,2010,"?80,000","50,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Xcent 1.2 VTVT S,2018,"?500,000","8,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai EON Era Plus,2013,"?250,000","35,000",Petrol,Individual,Manual,First Owner,2011 -2015
Tata New Safari DICOR 2.2 EX 4x2,2010,"?250,000","80,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI BSIII,2005,"?125,000","50,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto LXi BSII,2002,"?100,000","80,000",Petrol,Individual,Manual,Fourth & Above Owner,2001 - 2005
Mahindra Scorpio M2DI,2010,"?480,000","90,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra KUV 100 G80 K2,2018,"?320,000","30,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Maruti A-Star Vxi,2010,"?130,000","70,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Tata Indica DLS,2006,"?57,000","80,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Hyundai Santro GLS I - Euro I,2005,"?75,000","60,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti 800 DX,2003,"?60,000","35,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Maruti Alto LXi BSIII,2008,"?125,000","70,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Honda City 1.5 EXI S,2004,"?105,000","100,000",Petrol,Individual,Manual,Third Owner,2001 - 2005
Maruti Wagon R LXI DUO BSIII,2008,"?125,000","152,000",LPG,Individual,Manual,Second Owner,2006 - 2010
Maruti Zen LXI,1998,"?69,000","70,000",Petrol,Individual,Manual,Second Owner,1992 - 2000
Tata Indigo LX,2012,"?130,000","90,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Baleno Zeta 1.2,2019,"?630,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda Amaze E i-VTEC,2016,"?330,000","50,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Maruti Wagon R VXI BS IV,2014,"?340,000","15,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Santro Xing XG eRLX Euro III,2006,"?60,000","120,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Tata Safari Storme EX,2014,"?550,000","78,322",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Ertiga VDI,2014,"?480,000","110,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna 1.6 SX CRDi (O),2013,"?315,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford Fiesta Titanium 1.5 TDCi,2012,"?165,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Chevrolet Beat LS,2016,"?170,000","125,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Baleno Delta 1.2,2018,"?550,000","8,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Volkswagen Ameo 1.2 MPI Trendline,2018,"?465,000","13,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indica Vista Quadrajet LX,2012,"?120,000","80,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Hyundai Verna 1.6 Xi ABS,2008,"?220,000","54,309",Petrol,Individual,Manual,First Owner,2006 - 2010
Ford Figo Diesel LXI,2011,"?180,000","70,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Chevrolet Aveo 1.6 LT,2006,"?150,000","34,600",Petrol,Individual,Manual,Third Owner,2006 - 2010
Tata Zest Revotron 1.2T XMS,2016,"?520,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Safari Storme EX,2013,"?430,000","80,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Mahindra Bolero DI DX 8 Seater,2009,"?300,000","55,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Hyundai Venue SX Opt Diesel,2020,"?1,000,000","5,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Honda WR-V i-DTEC VX,2017,"?725,000","30,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Verna 1.4 EX,2011,"?500,000","31,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI BS IV,2011,"?250,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Swift Dzire VDI,2018,"?700,000","38,217",Diesel,Individual,Manual,First Owner,2016 - 2020
Ford Figo Petrol ZXI,2011,"?185,000","50,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Maruti Ritz VDi,2011,"?200,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra Bolero DI,2004,"?315,000","110,000",Diesel,Individual,Manual,Third Owner,2001 - 2005
Tata Harrier XZ BSIV,2019,"?1,700,000","10,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra KUV 100 mFALCON G80 K8 5str,2016,"?370,000","60,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai i10 Sportz,2011,"?250,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Ignis 1.2 Delta BSIV,2019,"?500,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Toyota Corolla Altis 1.8 J,2008,"?400,000","35,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Tata Manza Club Class Quadrajet90 LS,2014,"?200,000","100,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Swift Dzire VDI,2016,"?284,000","40,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Maruti Wagon R VXI Minor,2007,"?80,000","60,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Chevrolet Beat PS,2014,"?170,000","77,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai Accent Executive,2011,"?150,000","60,000",Petrol,Individual,Manual,First Owner,2011 -2015
Tata Manza Aura (ABS) Safire BS IV,2010,"?110,000","77,073",Petrol,Individual,Manual,Second Owner,2011 -2015
Ford Figo Aspire 1.5 TDCi Titanium,2016,"?400,000","70,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i10 Magna LPG,2013,"?275,000","90,000",LPG,Individual,Manual,Second Owner,2011 -2015
Toyota Innova 2.5 G (Diesel) 7 Seater,2013,"?800,000","186,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Mahindra Scorpio M2DI,2014,"?550,000","90,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Alto LX BSIII,2007,"?125,000","100,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Chevrolet Beat LT,2010,"?135,000","80,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Mahindra Scorpio LX BSIV,2012,"?349,000","150,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Swift VDI BSIV,2014,"?458,000","80,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Alto K10 VXI,2018,"?300,000","35,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LXi,2008,"?95,000","70,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti S-Cross Zeta DDiS 200 SH,2018,"?850,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Ford Freestyle Titanium Diesel,2019,"?750,000","25,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Ford Figo Diesel Celebration Edition,2013,"?190,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI Minor,2009,"?150,000","70,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Hyundai Accent GLE,2009,"?114,999","106,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Toyota Innova 2.0 VX 7 Seater,2010,"?320,000","120,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Maruti Alto 800 CNG LXI Optional,2019,"?300,000","120,000",CNG,Individual,Manual,First Owner,2016 - 2020
Maruti Ritz LXi,2016,"?275,000","160,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Chevrolet Aveo 1.6 LT with ABS,2010,"?140,000","120,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Tata Altroz XZ,2020,"?830,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Volkswagen Polo SR Petrol 1.2L,2013,"?380,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai i10 Magna 1.2,2010,"?150,000","90,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Chevrolet Spark 1.0 LS,2008,"?50,000","70,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Mahindra Bolero SLX,2008,"?155,000","100,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Skoda Superb 1.8 TFSI MT,2010,"?300,000","80,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Alto 800 LXI,2018,"?300,000","16,584",Petrol,Dealer,Manual,First Owner,2016 - 2020
Tata Tiago 2019-2020 XE Diesel,2016,"?385,000","38,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Wagon R LXI,2010,"?221,000","51,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Tata Tiago 1.05 Revotorq XE,2016,"?381,000","38,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Alto 800 LXI,2015,"?250,999","35,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai Santro LS zipPlus,2002,"?60,000","120,000",Petrol,Individual,Manual,Third Owner,2001 - 2005
Tata Tiago 1.05 Revotorq XE,2016,"?380,000","38,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Skoda Laura L n K 1.9 PD,2008,"?180,000","144,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Maruti Ciaz ZDi Plus,2017,"?751,000","64,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Mahindra XUV500 AT W10 FWD,2015,"?1,250,000","60,000",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Hyundai EON 1.0 Era Plus,2014,"?229,999","65,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Tata Safari Storme EX,2019,"?1,250,000","24,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra Scorpio VLX 2WD BSIV,2014,"?782,000","58,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2014,"?780,000","58,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Maruti Alto 800 LXI,2016,"?245,000","68,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai i20 1.4 CRDi Sportz,2011,"?321,000","81,257",Diesel,Dealer,Manual,First Owner,2011 -2015
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,"?509,999","44,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Tata Nano CX SE,2015,"?110,000","45,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Volkswagen Polo Diesel Highline 1.2L,2013,"?400,000","75,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Swift VXI,2013,"?370,000","90,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai Verna CRDi ABS,2007,"?175,000","80,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Mercedes-Benz E-Class 230,1998,"?1,000,000","35,000",Petrol,Individual,Automatic,Second Owner,1992 - 2000
Maruti Alto 800 LXI,2013,"?92,800","25,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Tata Xenon XT EX 4X2,2014,"?291,000","90,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Verna 1.6 SX CRDi (O),2013,"?335,000","110,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Maruti Omni 8 Seater BSIV,2013,"?170,000","35,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Alto 800 LXI,2019,"?295,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Renault KWID RXL,2019,"?375,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai EON Era Plus,2012,"?215,000","70,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Ford Fiesta 1.4 ZXi TDCi ABS,2009,"?150,000","110,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto LXI,2003,"?60,000","5,000",Petrol,Individual,Manual,Second Owner,2001 - 2005
Tata New Safari Dicor EX 4X2 BS IV,2012,"?280,000","110,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Toyota Etios VD,2016,"?450,000","50,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Mahindra XUV500 W7,2018,"?1,150,000","58,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Baleno Delta 1.3,2018,"?650,000","15,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Zest Revotron 1.2T XE,2015,"?300,000","60,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Tata Nano Twist XT,2015,"?73,000","57,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift VDI BSIV,2015,"?400,000","87,000",Diesel,Individual,Manual,Third Owner,2016 - 2020
Renault KWID 1.0 RXT Optional,2017,"?300,000","70,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Wagon R AX,2012,"?300,000","30,000",Petrol,Individual,Automatic,Second Owner,2011 -2015
Maruti Swift Dzire VDI,2012,"?450,000","80,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Santro Xing GLS,2009,"?200,000","100,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Swift VXI,2019,"?580,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Grand i10 1.2 Kappa Asta,2017,"?550,000","3,917",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Scorpio SLX 2.6 Turbo 8 Str,2007,"?190,000","160,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Tata Tiago 1.05 Revotorq XT Option,2017,"?450,000","35,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Chevrolet Spark 1.0 LS,2014,"?220,000","70,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti SX4 ZXI MT BSIV,2012,"?310,000","69,069",Petrol,Dealer,Manual,First Owner,2011 -2015
Hyundai Elite i20 Sportz Plus BSIV,2019,"?650,000","13,500",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Wagon R Stingray VXI,2014,"?300,000","59,059",Petrol,Dealer,Manual,First Owner,2011 -2015
Hyundai Accent Executive,2013,"?200,000","70,000",Petrol,Individual,Manual,First Owner,2011 -2015
Honda Brio S MT,2012,"?285,000","39,039",Petrol,Dealer,Manual,First Owner,2011 -2015
Honda Brio Exclusive Edition,2014,"?335,000","33,033",Petrol,Dealer,Manual,First Owner,2011 -2015
Hyundai Verna Transform SX VTVT,2011,"?370,000","55,168",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai i20 1.2 Sportz,2013,"?375,000","41,041",Petrol,Dealer,Manual,First Owner,2011 -2015
Hyundai i10 Magna,2009,"?235,000","67,067",Petrol,Dealer,Manual,First Owner,2006 - 2010
Hyundai i10 Sportz 1.2 AT,2013,"?345,000","66,066",Petrol,Dealer,Automatic,First Owner,2011 -2015
Mahindra Quanto C8,2013,"?365,000","82,082",Diesel,Dealer,Manual,First Owner,2011 -2015
Hyundai Grand i10 Sportz,2014,"?400,000","48,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai EON D Lite Plus,2015,"?250,000","30,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Verna SX CRDi AT,2012,"?465,000","70,070",Diesel,Dealer,Automatic,First Owner,2011 -2015
Renault KWID RXT,2017,"?300,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift Dzire ZXI 1.2 BS IV,2018,"?655,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Wagon R LXI CNG,2016,"?350,000","30,000",CNG,Individual,Manual,Second Owner,2016 - 2020
Hyundai i10 Sportz 1.2 AT,2015,"?500,000","50,000",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Hyundai Grand i10 AT Asta,2015,"?465,000","63,063",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Maruti Swift VDi BSIII W/ ABS,2008,"?263,000","70,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Maruti Omni MPI STD BSIV,2012,"?250,000","90,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai Accent GLE 1,1999,"?60,000","90,000",Petrol,Individual,Manual,Fourth & Above Owner,1992 - 2000
Hyundai Getz GLX,2005,"?70,000","90,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Honda WR-V i-DTEC VX,2017,"?650,000","140,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 Asta 1.4 CRDi,2014,"?370,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Swift VDI Optional,2016,"?509,999","40,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Zen Estilo VXI BSIV,2011,"?280,000","33,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti A-Star Vxi,2010,"?180,000","40,000",Petrol,Individual,Manual,First Owner,2011 -2015
Ford Ecosport 1.5 Petrol Ambiente,2017,"?650,000","6,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Verna SX Diesel,2010,"?200,000","78,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Hyundai Verna SX Diesel,2011,"?210,000","72,000",Diesel,Dealer,Manual,Third Owner,2011 -2015
Tata Nano Cx BSIV,2011,"?75,000","9,528",Petrol,Dealer,Manual,First Owner,2011 -2015
Toyota Innova 2.5 G (Diesel) 8 Seater,2011,"?450,000","135,200",Diesel,Dealer,Manual,First Owner,2011 -2015
Hyundai i20 1.2 Sportz,2011,"?220,000","58,000",Petrol,Dealer,Manual,Second Owner,2011 -2015
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,"?325,000","78,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Tata Zest Revotron 1.2T XE,2018,"?450,000","45,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,"?825,000","35,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Accent GLS,2007,"?125,000","76,000",Petrol,Dealer,Manual,Third Owner,2006 - 2010
